Hash,author,KC-Tags,MF-Tags,AM-Tags
0398dfd36745579d146c5917df1bfad0bacd5798,Bruno Dilly,no-tag-changed,no-tag-changed,['removeAsset' | 'changeAsset']
3fa3595bea88eb69ba99b863a5e07443089b764a,Gustavo Lima Chaves,no-tag-changed,no-tag-changed,['changeAsset' | 'addAsset']
1b0274112796b063ab22a85c400556aca6229fab,Gabriel Schulhof,no-tag-changed,no-tag-changed,['changeAsset' | 'addAsset']
427491617dca7ea550441b2e9770bf4a43d5e9ed,Gabriel Schulhof,no-tag-changed,no-tag-changed,['changeAsset' | 'addAsset']
aaf4f906384b5b5196edb93f77b85087192bc4d2,Gabriel Schulhof,no-tag-changed,no-tag-changed,['changeAsset' | 'addAsset']
56846d7c9113d91f6606e7abf8121c3b47f692ba,Gabriel Schulhof,no-tag-changed,no-tag-changed,['changeAsset' | 'addAsset']
692f920278e7d38bd693cc4f478c38fbfd325a01,Guilherme Iscaro de Godoy,no-tag-changed,no-tag-changed,['changeAsset' | 'addAsset']
2481fb411ca23c9aabf83c80915fee138fd6c8d3,Guilherme Iscaro de Godoy,no-tag-changed,no-tag-changed,['changeAsset' | 'addAsset']
be35a65b4b83871e9bf7215e119cb805043b2147,Bruno Dilly,no-tag-changed,no-tag-changed,['changeAsset' | 'addAsset']
23eaa0ba86d97a88cf97c784860599542c797dfb,Guilherme Iscaro de Godoy,no-tag-changed,no-tag-changed,['changeAsset' | 'addAsset']
60b15af57e3f11eb32174f254edc753f4dcefc4e,Gabriel Schulhof,no-tag-changed,no-tag-changed,['addAsset' | 'changeAsset']
210e203eff89f7fce936fe314111a6974a9e4227,Gabriel Schulhof,no-tag-changed,no-tag-changed,['changeAsset' | 'addAsset']
45f3d4c2f9028862f2de7944451ee64f729819fc,Bruno Dilly,no-tag-changed,no-tag-changed,['removeAsset' | 'addAsset']
3a81fc183f017806faa6226858f9ff6541b150fe,Bruno Dilly,no-tag-changed,no-tag-changed,['changeAsset' | 'addAsset']
6f11c7ede9603f221e7bf27334e4f989232e1563,Guilherme Iscaro de Godoy,no-tag-changed,no-tag-changed,['changeAsset' | 'addAsset']
ef50f54f75461860e9b4bb16e4c61d9d406ceb05,Iván Briano,no-tag-changed,no-tag-changed,['changeAsset' | 'removeAsset']
94c3a12a64bcb82545af18c20105f1368abf343e,Iván Briano,no-tag-changed,no-tag-changed,['addAsset' | 'changeAsset']
5abcf5024cb5bb916b06c2d916e73b38ff41d280,Gabriel Schulhof,no-tag-changed,no-tag-changed,['removeAsset' | 'changeAsset']
c3e4b35dc7835cde9d244ee10d8bdedc6c293b36,Flavio Ceolin,no-tag-changed,no-tag-changed,['addAsset' | 'changeAsset']
