hash,author,MF-tags
17022a2622ddce9fbbd478a551f46e639d991cb0,Leandro Dorileo,[('Modify'|'mapping')]
e6e17e41bbeb92125541c9cc4c06273ef1566c22,Leandro Dorileo,[('added'|'build')]
ec6c506d1e926efa1007e9b5946d57a5e3f3804a,Leandro Dorileo,[('rename'|'rename')]
3e677dd8f3c6427a861a36f139f49c814f5dad88,Leandro Dorileo,[('Modify'|'build')]
3f95a2bef52b4acd653afc4ec1f28e39ab2b685b,Leandro Dorileo,[('Modify'|'build')]
697c761c826106f0505ead2bc0c1943238a62672,Bruno Dilly,[('rename'|'rename')]
0c45273fb09534946b704fea99f64c7acbb14eea,Leandro Dorileo,[('added'|'mapping')]
77253265d4d8bd61961ba176ac076f5b35c8bf1c,Vinicius Costa Gomes,[('Modify'|'build')]
c737f45c8842e187dd5b6daf32395de837e0cd8a,Vinicius Costa Gomes,[('rename'|'rename')]
6c15ac58e4b68f95aa222b55db13213d44d8195b,Murilo Belluzzo,[('remove'|'mapping')]
7644a4405a0f17457d26cc2d994a83025563441f,Murilo Belluzzo,[('remove'|'ifdef')]
aa897c95058dd8166507903cd92caa648e73b72b,Leandro Dorileo,[('Modify'|'build')]
b1aadd0258f8ebacb599c433d4706fd42bd1f4ee,Leandro Dorileo,[('rename'|'rename')]
05f7fd2a339f318c64b3830d85e134d8429ee254,Bruno Dilly,[('added'|'build')]
d9470b182d6b9178e6963df79d8d128c282fb8d9,Caio Marcelo de Oliveira Filho,[('Modify'|'build')]
a4460a7d07b4bd01f2450c0d7f73647ce5cfd474,Murilo Belluzzo,[('rename'|'rename')]
56aa948f533eca732fce436597a10de8a1ac4981,Leandro Dorileo,[('rename'|'rename')]
0d936aee0807ea44d4e1d0e7faffd2ed6b1334fa,Gustavo Lima Chaves,[('Modify'|'build')]
15cfb08892ae488ccc3e0b569bb306371e202e0c,Bruno Dilly,[('Modify'|'build')]
b3428c3a7ab33e60bb6d51b85e25ee74b6b6bde0,Bruno Dilly,[('Modify'|'mapping')]
09e7bed7f3b6da881943b3bc1f9180c07b493c6a,Leandro Dorileo,[('rename'|'rename')]
